mmsi,length,width,to_bow,to_stern,to_port,to_starboard,Embarcacion,area_m2,Unnamed: 9,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,8,50.0,1800.0,20100.0,0.0,0.0,0.0,0.0,21950.0,2847.116,5867.730988976055
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,6,0.0,3150.0,19700.0,0.0,0.0,0.0,0.0,22850.0,2073.523,5908.365834002342
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,5,533.0,250.0,4250.0,0.0,0.0,0.0,0.0,5033.0,924.918,915.8017000581314
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,1,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,12.83579854043264
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,11,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,894.5722820495757
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,4,T057,10,611.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,606.6437976932948
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,3,T057,9,4439.0,850.0,15800.0,0.0,0.0,0.0,0.0,21089.0,2449.875,4590.803775088916
760000270,46.0,10.0,7.0,39.0,5.0,5.0,TASA 57,460.0,,COPETSA 4,3,T057,2,0.0,0.0,31400.0,0.0,0.0,0.0,0.0,31400.0,4941.6,7834.329599697036
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,7,770.0,0.0,0.0,0.0,1660.0,0.0,0.0,2430.0,0.0,1047.164950752952
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,4,155.0,0.0,0.0,0.0,1575.0,0.0,0.0,1730.0,0.0,666.7752187313076
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,3,0.0,3366.0,11122.0,0.0,0.0,0.0,0.0,14488.0,2279.829999999999,6933.130553479384
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,0,450.0,0.0,1440.0,0.0,0.0,0.0,0.0,1890.0,452.775,716.6366304173998
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,8,10.0,1180.0,14670.0,0.0,0.0,0.0,0.0,15860.0,3816.03,6301.10983463038
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,6,680.0,0.0,16320.0,0.0,0.0,0.0,0.0,17000.0,2112.321,7222.148002331991
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,5,240.0,0.0,1650.0,0.0,0.0,0.0,0.0,1890.0,495.18,615.0818599894569
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4935648669634
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,11,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,90.4935648669634
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,2,T417,10,109.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,90.4935648669634
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,1,T417,9,2167.0,0.0,9617.0,0.0,0.0,0.0,0.0,11784.0,2500.545,4404.696062660467
760000290,38.0,8.0,8.0,30.0,4.0,4.0,TASA 417,304.0,,INANSA,1,T417,2,140.0,0.0,14935.0,0.0,0.0,0.0,0.0,15075.0,3420.505,5776.451494006577
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,7,0.0,0.0,0.0,4295.0,2245.0,0.0,0.0,6540.0,1509.925,4127.965086467477
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,4,460.0,0.0,0.0,2140.0,860.0,0.0,0.0,3460.0,556.365,1629.664197698661
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,3,0.0,300.0,7665.0,0.0,0.0,0.0,0.0,7965.0,2188.61,5033.734674696574
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,0,220.0,0.0,1850.0,0.0,0.0,0.0,0.0,2070.0,620.095,883.9606280681477
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,8,0.0,0.0,4690.0,0.0,0.0,0.0,0.0,4690.0,2757.23,4904.335922318059
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,6,690.0,0.0,8490.0,0.0,0.0,0.0,0.0,9180.0,990.415,3174.953832744999
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,5,215.0,35.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,90.4935648669634
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,1,185.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,90.4935648669634
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,11,195.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,90.4935648669634
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,10,190.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,90.4935648669634
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,9,300.0,0.0,4430.0,0.0,0.0,0.0,0.0,4730.0,1737.52,2940.250244026979
760000310,34.0,8.0,4.0,30.0,4.0,4.0,TASA 31,272.0,,JAYANCA,1,T031,2,50.0,500.0,6720.0,0.0,0.0,0.0,0.0,7270.0,2077.605,4066.775396952853
760000320,45.0,8.0,4.0,41.0,4.0,4.0,TASA 38,360.0,,TARATA 3,3,T038,7,0.0,0.0,0.0,5645.0,2135.0,0.0,0.0,7780.0,1790.37,3950.954132752298
760000320,45.0,8.0,4.0,41.0,4.0,4.0,TASA 38,360.0,,TARATA 3,3,T038,4,380.0,0.0,0.0,1530.0,1150.0,0.0,0.0,3060.0,436.31,973.1983965506702
760000320,45.0,8.0,4.0,41.0,4.0,4.0,TASA 38,360.0,,TARATA 3,3,T038,3,0.0,1855.0,7200.0,0.0,0.0,0.0,0.0,9055.0,1985.815,4206.256414399714
760000320,45.0,8.0,4.0,41.0,4.0,4.0,TASA 38,360.0,,TARATA 3,3,T038,0,110.0,0.0,1985.0,0.0,0.0,0.0,0.0,2095.0,950.69,844.1141115935773
760000320,45.0,8.0,4.0,41.0,4.0,4.0,TASA 38,360.0,,TARATA 3,3,T038,8,15.0,1715.0,8805.0,0.0,0.0,0.0,0.0,10535.0,2891.71,4386.151179642983
